2025-12-20 18:39:46 | INFO     | 编码器位置读取器初始化完成
2025-12-20 18:39:52 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:52 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:52 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:52 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:52 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:53 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:53 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:53 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:53 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:53 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:53 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:54 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:54 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:54 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:54 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:54 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:54 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:55 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:55 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:55 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:55 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:55 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:55 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:56 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:56 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:39:56 | DEBUG    | 原始数据: 00000000
2025-12-20 18:39:56 | INFO     | 右缸编码器反馈位置: 0.0 mm
2025-12-20 18:39:57 | INFO     | 监控时间结束
2025-12-20 18:39:57 | INFO     | 监控结束，总读取次数: 20, 成功次数: 20, 成功率: 100.0%
2025-12-20 18:39:57 | SUCCESS  | 
程序执行完成
2025-12-20 18:39:57 | INFO     | PLC 连接已断开
2025-12-20 18:57:55 | INFO     | 编码器位置读取器初始化完成
2025-12-20 18:57:55 | INFO     | PLC IP: 192.168.0.1
2025-12-20 18:57:55 | INFO     | 读取地址: DB5.DBD124
2025-12-20 18:57:55 | INFO     | 数据类型: Real (4 字节)
2025-12-20 18:57:55 | INFO     | 正在连接 PLC: 192.168.0.1
2025-12-20 18:57:56 | SUCCESS  | PLC 连接成功
2025-12-20 18:57:56 | INFO     | 
--- PLC 信息 ---
2025-12-20 18:57:56 | INFO     | PLC 状态: S7CpuStatusRun
2025-12-20 18:57:56 | ERROR    | 获取 PLC 信息失败: 'Client' object has no attribute 'get_order_number'
2025-12-20 18:57:56 | INFO     | 
--- 单次读取测试 ---
2025-12-20 18:57:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:56 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:56 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:56 | SUCCESS  | 读取成功: 右缸编码器位置 = 1073741824.000 mm
2025-12-20 18:57:56 | WARNING  | 位置值超出合理范围: 1073741824.0 (期望: -500 ~ 500)
2025-12-20 18:57:56 | WARNING  | 位置值可能异常
2025-12-20 18:57:56 | INFO     | 
--- 连续监控演示 (10秒) ---
2025-12-20 18:57:56 | INFO     | 按 Ctrl+C 可提前退出监控
2025-12-20 18:57:56 | INFO     | 开始连续监控，间隔: 0.5 秒
2025-12-20 18:57:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:56 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:56 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:56 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:56 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:57 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:57 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:57 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:57 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:57 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:57 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:58 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:58 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:58 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:58 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:58 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:58 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:59 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:59 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:59 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:57:59 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:57:59 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:57:59 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:00 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:00 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:00 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:00 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:00 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:00 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:01 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:01 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:01 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:01 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:01 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:01 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:02 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:02 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:02 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:02 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:02 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:02 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:03 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:03 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:03 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:03 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:03 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:03 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:04 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:04 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:04 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:04 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:04 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:04 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:05 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:05 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:05 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:06 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:58:06 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:58:06 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:58:06 | INFO     | 监控时间结束
2025-12-20 18:58:06 | INFO     | 监控结束，总读取次数: 20, 成功次数: 20, 成功率: 100.0%
2025-12-20 18:58:06 | SUCCESS  | 
程序执行完成
2025-12-20 18:58:06 | INFO     | PLC 连接已断开
2025-12-20 18:59:50 | INFO     | 编码器位置读取器初始化完成
2025-12-20 18:59:50 | INFO     | PLC IP: 192.168.0.1
2025-12-20 18:59:50 | INFO     | 读取地址: DB5.DBD124
2025-12-20 18:59:50 | INFO     | 数据类型: Real (4 字节)
2025-12-20 18:59:50 | INFO     | 正在连接 PLC: 192.168.0.1
2025-12-20 18:59:50 | SUCCESS  | PLC 连接成功
2025-12-20 18:59:50 | INFO     | 
--- PLC 信息 ---
2025-12-20 18:59:50 | INFO     | PLC 状态: S7CpuStatusRun
2025-12-20 18:59:50 | ERROR    | 获取 PLC 信息失败: 'Client' object has no attribute 'get_order_number'
2025-12-20 18:59:50 | INFO     | 
--- 单次读取测试 ---
2025-12-20 18:59:50 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:50 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:50 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:50 | SUCCESS  | 读取成功: 右缸编码器位置 = 1073741824.000 mm
2025-12-20 18:59:50 | WARNING  | 位置值超出合理范围: 1073741824.0 (期望: -500 ~ 500)
2025-12-20 18:59:50 | WARNING  | 位置值可能异常
2025-12-20 18:59:50 | INFO     | 
--- 连续监控演示 (10秒) ---
2025-12-20 18:59:50 | INFO     | 按 Ctrl+C 可提前退出监控
2025-12-20 18:59:50 | INFO     | 开始连续监控，间隔: 0.5 秒
2025-12-20 18:59:50 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:50 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:50 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:51 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:51 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:51 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:51 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:51 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:51 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:52 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:52 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:52 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:52 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:52 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:52 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:53 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:53 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:53 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:53 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:53 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:53 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:54 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:54 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:54 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:54 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:54 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:54 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:55 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:55 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:55 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:55 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:55 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:55 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:56 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:56 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:56 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:56 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:56 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:57 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:57 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:57 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:57 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:57 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:57 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:58 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:58 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:58 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:58 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:58 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:58 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:59 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:59 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:59 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 18:59:59 | DEBUG    | 读取 DB5.DBD124
2025-12-20 18:59:59 | DEBUG    | 原始数据: 4e800000
2025-12-20 18:59:59 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 19:00:00 | DEBUG    | 读取 DB5.DBD124
2025-12-20 19:00:00 | DEBUG    | 原始数据: 4e800000
2025-12-20 19:00:00 | INFO     | 右缸编码器反馈位置: 1073741824.0 mm
2025-12-20 19:00:01 | INFO     | 监控时间结束
2025-12-20 19:00:01 | INFO     | 监控结束，总读取次数: 20, 成功次数: 20, 成功率: 100.0%
2025-12-20 19:00:01 | SUCCESS  | 
程序执行完成
2025-12-20 19:00:01 | INFO     | PLC 连接已断开
